,district,metro,area,rooms,floor,gk,price,adress
219,1.19,3.0,120.0,3.0,16.0,0.0,22500.0,"Днепровская набережная , 1а, Днепровский р-н"
220,2.87,1.0,286.0,5.0,22.0,0.0,110000.0,"Кловский спуск, 5, Печерский р-н"
221,1.18,3.0,66.0,2.0,10.0,1.0,14000.0,"Кольцова бульв., 8, Святошинский р-н"
222,1.22,1.0,62.0,2.0,10.0,0.0,12000.0,"Автозаводская ул., 15а, Оболонский р-н"
223,1.29,3.0,45.0,1.0,14.0,1.0,20000.0,"Івана Виговського, 10Е, Подольский р-н"
224,1.74,1.0,37.0,1.0,26.0,1.0,18990.0,"Победы просп., 5В, Шевченковский р-н"
225,1.74,1.0,90.0,3.0,2.0,0.0,25000.0,"Пушкинская ул., 19А, Шевченковский р-н"
226,1.12,3.0,68.0,2.0,17.0,0.0,12000.0,"Харьковское шоссе, 56, Дарницкий р-н"
227,1.12,2.0,38.0,1.0,6.0,0.0,11500.0,"Григоренко Петра просп., 38а, Дарницкий р-н"
228,1.29,3.0,48.0,1.0,4.0,0.0,1584000.0,"Андреевская ул., 11/7, Подольский р-н"
229,2.87,1.0,51.0,1.0,8.0,1.0,22990.0,"Михаила Бойчука ул. (Киквидзе), 41, Печерский р-н"
230,1.19,3.0,64.0,2.0,13.0,0.0,17500.0,"Механизаторов ул., 2а, Соломенский р-н"
231,1.53,1.0,29.0,1.0,17.0,1.0,10800.0,"Васильковская ул., 100 а, Голосеевский р-н"
232,1.53,1.0,41.0,1.0,7.0,1.0,14600.0,"Юношеская ул., 8, Голосеевский р-н"
233,1.18,1.0,40.0,1.0,15.0,1.0,12000.0,"Петрицкого Анатолия ул., 13, Святошинский р-н"
234,1.22,1.0,35.7,1.0,9.0,0.0,11500.0,"Героев Сталинграда, 37, Оболонский р-н"
235,1.74,1.0,65.0,3.0,6.0,0.0,13000.0,"Победы просп., 22, Шевченковский р-н"
236,1.74,1.0,50.0,2.0,14.0,1.0,20000.0,"Жилянская ул., 118, Шевченковский р-н"
237,2.87,1.0,75.0,2.0,2.0,0.0,15125.0,"Лаврская ул., 7а, Печерский р-н"
238,1.12,2.0,50.0,2.0,16.0,1.0,18000.0,"Днепровская наб., 16, Дарницкий р-н"
239,1.19,3.0,22.0,1.0,1.0,0.0,6500.0,"Пражская ул., 19, Днепровский р-н"
240,1.19,3.0,92.0,3.0,15.0,0.0,35750.0,"Лобановского просп. (Краснозвездный), 6А, Соломенский р-н"
241,1.22,1.0,35.0,1.0,9.0,0.0,10500.0,"Гайдай Зои ул., 2, Оболонский р-н"
243,1.74,1.0,100.0,3.0,18.0,1.0,44000.0,"Глубочицкая ул., 32Б, Шевченковский р-н"
244,1.53,3.0,65.0,2.0,13.0,0.0,19000.0,"Гайдара ул., 27, Голосеевский р-н"
246,2.87,1.0,98.0,3.0,11.0,0.0,33000.0,"Леси Украинки бульв., 7б, Печерский р-н"
247,2.87,1.0,98.0,2.0,11.0,0.0,33000.0,"Леси Украинки бульв., 7б, Печерский р-н"
248,2.87,1.0,64.0,2.0,2.0,0.0,27500.0,"Хрещатик, 25, Печерский р-н"
249,2.87,1.0,160.0,3.0,14.0,0.0,82500.0,"Кловский спуск, 7, Печерский р-н"
250,1.53,1.0,160.0,3.0,5.0,0.0,63250.0,"Большая Васильковская ул. (Красноармейская), 106, Голосеевский р-н"
251,1.74,1.0,130.0,3.0,3.0,0.0,44000.0,"Дмитриевская ул., 45, Шевченковский р-н"
252,2.87,1.0,183.0,4.0,10.0,0.0,82500.0,"Леси Украинки бульв., 7б, Печерский р-н"
253,1.74,1.0,155.0,4.0,3.0,0.0,55000.0,"Павловская ул., 18, Шевченковский р-н"
254,2.87,1.0,61.0,1.0,20.0,0.0,22000.0,"Леси Украинки бульв., 7б, Печерский р-н"
255,1.74,1.0,70.0,3.0,4.0,0.0,24750.0,"Хмельницкого Богдана ул., 49, Шевченковский р-н"
256,1.74,1.0,130.0,3.0,14.0,0.0,82500.0,"Гоголевская ул., Шевченковский р-н"
257,1.53,1.0,50.0,2.0,2.0,0.0,27500.0,"Большая Васильковская ул. (Красноармейская), 71, Голосеевский р-н"
258,1.29,3.0,60.0,2.0,4.0,0.0,9500.0,"Захаровская ул., 3, Подольский р-н"
259,1.53,1.0,70.0,2.0,4.0,0.0,14500.0,"Науки просп., 69, Голосеевский р-н"
261,1.74,1.0,130.0,3.0,16.0,1.0,96250.0,"Гончара Олеся ул., 35, Шевченковский р-н"
