district,metro,area,rooms,floor,gk,price,adress
1.53,1.0,40.0,1,4.0,0,12590.0,"Глушкова академика просп., 30, Голосеевский р-н"
2.87,3.0,144.0,3,6.0,1,123750.0,"Бусловская ул., 12, Печерский р-н"
1.12,3.0,54.0,2,3.0,0,8000.0,"ревуцкого, 24, Дарницкий р-н"
1.53,3.0,85.0,3,5.0,1,46750.0,"Саксаганского , 37к, Голосеевский р-н"
1.74,3.0,220.0,4,5.0,0,110000.0,"Паторжинского ул., 14, Шевченковский р-н"
1.74,3.0,141.0,3,2.0,0,55000.0,"Кудрявская ул., 13/19, Шевченковский р-н"
1.19,3.0,82.0,3,15.0,0,15000.0,"Митрополита Андрея Шептицкого ул. (Луначарского Анатолия), 20а, Днепровский р-н"
1.74,3.0,62.0,2,2.0,0,21000.0,"Дмитриевская ул., 56, Шевченковский р-н"
1.19,3.0,32.0,1,7.0,0,8800.0,"Челябинская ул., 19, Днепровский р-н"
2.87,3.0,55.0,2,9.0,1,30250.0,"Василия Тютюнника ул. (Барбюса Анри), 53, Печерский р-н"
2.87,3.0,50.0,2,2.0,0,27500.0,"Большая Васильковская ул. (Красноармейская), 71, Печерский р-н"
1.53,3.0,36.0,1,6.0,1,19250.0,"Максимовича ул. (Трутенко Онуфрия), 28д, Голосеевский р-н"
2.87,3.0,134.0,3,15.0,1,57000.0,"Евгения Коновальца ул. (Щорса), 36в, Печерский р-н"
1.74,3.0,85.0,3,3.0,0,20000.0,"Саксаганского ул., 92, Шевченковский р-н"
1.18,3.0,40.0,1,9.0,0,7500.0,"Пушиной Феодоры ул., 44/50, Святошинский р-н"
2.87,3.0,32.0,1,9.0,0,12000.0,"Дружбы Народов бульв., 3а, Печерский р-н"
1.19,1.0,22.0,1,2.0,0,9700.0,"Соборности просп. (Воссоединения), 17, Днепровский р-н"
1.0,1.0,42.0,2,4.0,0,9000.0,"Лесной просп., 41, Деснянский р-н"
1.19,1.0,75.0,3,4.0,0,24000.0,"Регенераторная ул., 4к9, Днепровский р-н"
