district,metro,area,rooms,floor,gk,price,adress,lat_long,repair,metro_dist
1.12,1,104.0,3,4,0,14000,"
ул. Урловская, 11/44, Киев
","('50.40743', '30.6197084')",0,1
1.19,1,45.5,2,5,0,11000,"
ул. Энтузиастов, 9/1, Киев
","('50.4367567', '30.6019751')",0,1
1.74,1,56.0,2,2,0,41200,"
ул. Гончара Олеся, 12, Киев
","('50.4536556', '30.5098887')",0,2
1.22,1,56.0,1,4,0,22000,"
ул. Оболонская набережная, Киев
","('50.5009389', '30.518689')",0,1
2.87,3,75.0,2,12,1,25000,"
Леси Украинки бульв., 7б, Киев
","('50.4346578', '30.5312405')",1,1
1.12,1,45.0,1,4,0,13000,"
ул. Урловская, 38, Киев
","('50.4117435', '30.6163605')",0,1
2.87,3,110.0,4,4,1,96100,"
ул. Предславинская, 40, Киев
","('50.4161613', '30.5254886')",0,1
2.87,3,70.0,2,4,0,35700,"
Крутой спуск, Киев
","('50.4420255', '30.5227015')",0,2
2.87,3,55.0,2,4,0,49400,"
ул. Саперное Поле, Киев
","('50.4190988', '30.531137')",0,1
1.18,3,55.0,1,2,0,12000,"
Академика Палладина просп., 25, Киев
","('50.4671838', '30.354101')",1,1
1.53,1,53.0,1,9,1,16000,"
ул. Конева, 10/1, Киев
","('50.383335', '30.4582703')",1,1
1.53,1,47.0,1,3,0,13000,"
Ясиноватский пер., 11, Киев
","('50.4091599', '30.5057434')",1,1
1.53,1,45.0,1,17,0,16500,"
Глушкова Академика просп., 9д, Киев
","('50.3729225', '30.4676478')",1,1
1.29,3,129.0,3,4,0,35400,"
ул. Волошская, Киев
","('50.4718569', '30.5119203')",0,1
2.87,3,70.0,1,17,0,68600,"
ул. Коновальца Евгения (Щорса), 26, Киев
","('50.42712', '30.5298415')",1,1
2.87,3,80.0,2,7,1,33000,"
ул. Тютюнника Василия (Барбюса Анри), 28а, Киев
","('50.4245352', '30.523142')",1,2
1.74,3,48.0,2,9,0,14500,"
Победы просп., 20, Киев
","('50.4503654', '30.4736335')",1,2
