district,metro,area,rooms,floor,gk,price,adress
1.19,3,80.0,2,5,0,25800,"
ул. Никольско-Слободская, 3б, Киев
"
1.74,3,98.0,3,11,1,24000,"
ул. Сикорского Игоря (Танковая), 4д, Киев
"
1.53,3,73.0,3,21,0,20000,"
ул. Саперно-Слободская, 22, Киев
"
1.53,3,47.0,2,4,0,26000,"
ул. Антоновича (Горького), 59, Киев
"
1.53,3,60.0,1,4,1,13600,"
ул. Голосеевская, 13, Киев
"
1.22,1,110.0,3,4,1,25000,"
ул. Кондратюка Юрия, 5, Киев
"
1.22,1,60.0,1,4,1,15000,"
Героев Сталинграда просп., 8, Киев
"
1.22,1,60.0,2,4,1,27000,"
ул. Тимошенко Маршала, 21/19, Киев
"
2.87,3,50.0,2,4,0,21500,"
ул. Лаврская, 4, Киев
"
1.19,1,50.0,1,4,0,15000,"
ул. Маланюка Евгения (Сагайдака Степана), 101, Киев
"
1.22,3,90.0,3,4,0,28000,"
Героев Сталинграда просп., 20а, Киев
"
1.53,1,80.0,2,4,0,18000,"
Ясиноватский пер., 10, Киев
"
1.12,1,65.0,2,4,0,15000,"
ул. Драгоманова, 12а, Киев
"
1.53,3,50.0,1,4,1,28000,"
ул. Жилянская, 68, Киев
"
2.87,3,110.0,3,4,0,23000,"
ул. Панаса Мирного, 17, Киев
"
2.87,3,55.0,2,4,1,24500,"
ул. Саперное Поле, 12, Киев
"
1.12,3,45.0,2,4,0,18000,"
ул. Заречная, Киев
"
1.22,3,65.0,2,4,0,23500,"
ул. Тимошенко Маршала, 13а, Киев
"
2.87,3,55.0,2,4,1,27500,"
ул. Джона Маккейна (Кудри Ивана), 7, Киев
"
1.22,1,65.0,2,4,1,22000,"
Героев Сталинграда просп., 2д, Киев
"
1.19,3,70.0,2,4,1,24000,"
ул. Гетьмана Вадима (Индустриальная), 1б, Киев
"
2.87,3,50.0,2,4,1,26000,"
ул. Тютюнника Василия (Барбюса Анри), 28а, Киев
"
1.12,1,80.0,2,4,0,26000,"
ул. Ахматовой, 50, Киев
"
1.19,3,70.0,2,4,1,24000,"
ул. Гетьмана Вадима (Индустриальная), 1б, Киев
"
